timestamp,humidity,pir,motion,mic,temperature
1361901182000,33.20,1,1,5,18.10
1361901188000,33.00,0,-1,3,18.10
1361901194000,32.90,0,0,6,18.10
1361901200000,32.80,0,0,3,18.10
1361901205000,32.70,0,0,2,18.10
1361901211000,32.70,0,0,5,18.10
1361901217000,32.70,0,0,2,18.10
1361901222000,32.70,0,0,6,18.10
1361901228000,32.70,0,0,3,18.10
1361901234000,32.70,0,0,4,18.10
1361901240000,32.70,0,0,7,18.10
1361901245000,32.70,0,0,3,18.10
1361901251000,32.70,0,0,5,18.20
1361901257000,32.70,0,0,4,18.20
1361901262000,32.60,0,0,9,18.20
1361901268000,32.60,0,0,1,18.20
1361901274000,32.50,0,0,7,18.20
1361901280000,32.40,1,1,2,18.20
1361901285000,32.20,0,-1,2,18.20
1361901291000,32.30,0,0,7,18.20
1361901297000,32.40,1,1,8,18.30
1361901302000,32.50,1,0,2,18.20
1361901308000,32.70,0,-1,6,18.30
1361901314000,33.40,0,0,4,18.30
1361901320000,33.60,0,0,6,18.30
1361901325000,33.80,1,1,6,18.40
1361901331000,33.90,1,0,4,18.40
1361901337000,33.50,0,-1,7,18.50
1361901343000,33.10,1,1,5,18.50
1361901348000,32.90,0,-1,12,18.50
1361901354000,32.60,1,1,10,18.60
1361901360000,32.30,1,0,4,18.60
1361901365000,32.10,0,-1,9,18.60
1361901371000,32.20,1,1,8,18.60
1361901377000,32.20,1,0,7,18.70
1361901383000,32.10,1,0,6,18.70
1361901388000,32.10,1,0,2,18.70
1361901394000,32.00,1,0,3,18.70
1361901400000,31.90,1,0,4,18.70
1361901405000,31.80,1,0,6,18.70
1361901411000,31.70,1,0,7,18.70
1361901417000,31.70,1,0,3,18.70
1361901423000,31.70,0,-1,7,18.80
1361901428000,31.60,1,1,5,18.80
1361901434000,31.40,1,0,6,18.80
1361901440000,31.30,0,-1,6,18.80
1361901445000,31.20,0,0,1,18.80
1361901451000,31.20,1,1,4,18.80
1361901457000,31.10,0,-1,7,18.80
1361901463000,31.10,1,1,5,18.80
1361905940000,27.60,0,0,0,19.90
1361905946000,27.60,1,1,6,19.90
1361905952000,27.50,0,-1,8,19.90
1361905957000,27.50,0,0,6,19.80
1361905963000,27.60,1,1,5,19.80
1361905969000,27.60,0,-1,5,19.80
1361905975000,27.60,1,1,2,19.80
1361905980000,27.60,1,0,0,19.80
1361905986000,27.60,0,-1,0,19.80
1361905992000,27.60,0,0,8,19.80
1361905997000,27.60,0,0,6,19.80
1361906003000,27.60,0,0,6,19.80
1361906009000,27.70,0,0,4,19.80
1361906015000,27.70,0,0,4,19.80
1361906020000,27.70,1,1,4,19.80
1361906026000,27.60,0,-1,1,19.80
1361906032000,27.70,0,0,3,19.80
1361906038000,27.70,0,0,7,19.90
1361906043000,27.60,0,0,9,19.80
1361906049000,27.70,1,1,8,19.90
